x	y1	y2	y3	y4	y5
-3	0.008863697	0.008851732	0.004431848	1.20E-05	1.57E-35
-2.99	0.00913318	0.00912044	0.00456659	1.27E-05	2.63E-35
-2.98	0.009409915	0.009396353	0.004704958	1.36E-05	4.38E-35
-2.97	0.009694066	0.009679631	0.004847033	1.44E-05	7.29E-35
-2.96	0.009985798	0.009970438	0.004992899	1.54E-05	1.21E-34
-2.95	0.010285282	0.01026894	0.005142641	1.63E-05	2.01E-34
-2.94	0.010592688	0.010575304	0.005296344	1.74E-05	3.32E-34
-2.93	0.01090819	0.010889703	0.005454095	1.85E-05	5.49E-34
-2.92	0.011231967	0.011212309	0.005615984	1.97E-05	9.06E-34
-2.91	0.011564198	0.0115433	0.005782099	2.09E-05	1.49E-33
-2.9	0.011905065	0.011882852	0.005952532	2.22E-05	2.45E-33
-2.89	0.012254754	0.012231149	0.006127377	2.36E-05	4.03E-33
-2.88	0.012613453	0.012588373	0.006306726	2.51E-05	6.60E-33
-2.87	0.012981353	0.01295471	0.006490676	2.66E-05	1.08E-32
-2.86	0.013358647	0.013330351	0.006679324	2.83E-05	1.76E-32
-2.85	0.013745533	0.013715486	0.006872767	3.00E-05	2.87E-32
-2.84	0.01414221	0.01411031	0.007071105	3.19E-05	4.68E-32
-2.83	0.014548879	0.014515018	0.007274439	3.39E-05	7.60E-32
-2.82	0.014965745	0.01492981	0.007482873	3.59E-05	1.23E-31
-2.81	0.015393016	0.015354887	0.007696508	3.81E-05	2.00E-31
-2.8	0.015830903	0.015790453	0.007915452	4.05E-05	3.23E-31
-2.79	0.016279618	0.016236715	0.008139809	4.29E-05	5.21E-31
-2.78	0.016739378	0.016693882	0.008369689	4.55E-05	8.39E-31
-2.77	0.017210401	0.017162164	0.008605201	4.82E-05	1.35E-30
-2.76	0.017692909	0.017641775	0.008846454	5.11E-05	2.17E-30
-2.75	0.018187125	0.018132932	0.009093563	5.42E-05	3.47E-30
-2.74	0.018693277	0.018635852	0.009346638	5.74E-05	5.56E-30
-2.73	0.019211594	0.019150756	0.009605797	6.08E-05	8.88E-30
-2.72	0.019742308	0.019677867	0.009871154	6.44E-05	1.42E-29
